================ Training Loss (Sun Nov 29 23:10:38 2020) ================
(epoch: 1, iters: 1334, time: 0.089, data: 0.183) D_A: 0.208 G_A: 0.606 cycle_A: 1.936 idt_A: 1.044 D_B: 0.316 G_B: 0.336 cycle_B: 2.194 idt_B: 0.988 
(epoch: 2, iters: 2668, time: 0.089, data: 0.159) D_A: 0.231 G_A: 0.172 cycle_A: 2.649 idt_A: 0.660 D_B: 0.250 G_B: 0.340 cycle_B: 1.446 idt_B: 1.266 
(epoch: 3, iters: 4002, time: 0.086, data: 0.184) D_A: 0.313 G_A: 0.098 cycle_A: 1.874 idt_A: 1.144 D_B: 0.275 G_B: 0.210 cycle_B: 2.486 idt_B: 0.831 
(epoch: 4, iters: 5336, time: 0.088, data: 0.167) D_A: 0.291 G_A: 0.165 cycle_A: 1.359 idt_A: 0.757 D_B: 0.335 G_B: 0.245 cycle_B: 1.260 idt_B: 0.631 
(epoch: 5, iters: 6670, time: 0.087, data: 0.183) D_A: 0.311 G_A: 0.566 cycle_A: 2.270 idt_A: 0.657 D_B: 0.179 G_B: 0.603 cycle_B: 1.798 idt_B: 1.273 
(epoch: 6, iters: 8004, time: 0.088, data: 0.184) D_A: 0.135 G_A: 0.333 cycle_A: 1.293 idt_A: 0.596 D_B: 0.400 G_B: 0.876 cycle_B: 1.255 idt_B: 0.807 
(epoch: 7, iters: 9338, time: 0.086, data: 0.174) D_A: 0.178 G_A: 0.631 cycle_A: 1.143 idt_A: 0.961 D_B: 0.252 G_B: 0.222 cycle_B: 2.024 idt_B: 0.433 
(epoch: 8, iters: 10672, time: 0.088, data: 0.187) D_A: 0.237 G_A: 0.152 cycle_A: 2.415 idt_A: 0.754 D_B: 0.136 G_B: 0.187 cycle_B: 1.964 idt_B: 1.417 
(epoch: 9, iters: 12006, time: 0.087, data: 0.195) D_A: 0.355 G_A: 0.098 cycle_A: 1.213 idt_A: 0.640 D_B: 0.210 G_B: 0.441 cycle_B: 1.296 idt_B: 0.697 
(epoch: 10, iters: 13340, time: 0.086, data: 0.174) D_A: 0.045 G_A: 0.201 cycle_A: 2.034 idt_A: 1.086 D_B: 0.182 G_B: 0.366 cycle_B: 2.438 idt_B: 0.960 
(epoch: 11, iters: 14674, time: 0.088, data: 0.163) D_A: 0.121 G_A: 0.296 cycle_A: 1.561 idt_A: 0.684 D_B: 0.221 G_B: 0.251 cycle_B: 1.372 idt_B: 1.010 
